iter	RMSE
0	3.153034807
1	3.145010738
2	3.13710943
3	3.129131577
4	3.121270898
5	3.113484729
6	3.105834358
7	3.098170292
8	3.090577574
9	3.082952494
10	3.075480979
11	3.067967844
12	3.060653347
13	3.053342875
14	3.046100148
15	3.038719563
16	3.031534598
17	3.024481792
18	3.017368805
19	3.010286579
20	3.00317679
21	2.996286134
2	3.009892224
23	3.003006142
24	2.996133509
25	2.989287829
26	2.982588714
27	2.975829764
28	2.969292997
29	2.962644086
30	2.956241709
31	2.949808392
32	2.943304926
33	2.936885123
34	2.93061833
35	2.924320132
36	2.918031081
37	2.911877874
38	2.905810152
39	2.899732051
40	2.893737186
41	2.887635137
42	2.881711208
43	2.875805599
44	2.869914152
45	2.864049729
46	2.858282274
47	2.852489456
48	2.846805726
49	2.841111726
50	2.835587174
51	2.829831388
52	2.824202431
53	2.81852364
54	2.813079716
55	2.807571703
56	2.802093201
57	2.796698888
