iter	Passed	Remaining
0	1	1986
1	3	1866
2	5	1807
3	7	1771
4	8	1750
5	10	1732
6	12	1717
7	13	1711
8	15	1698
9	17	1686
10	18	1681
11	20	1670
12	21	1661
13	23	1653
14	25	1652
15	26	1659
16	28	1662
17	31	1691
18	32	1684
19	34	1678
20	37	1744
21	39	1738
22	41	1768
23	43	1767
24	45	1764
25	46	1757
26	48	1758
27	50	1752
28	52	1747
29	53	1743
30	55	1747
31	57	1743
32	59	1742
33	61	1734
34	62	1731
35	64	1733
36	66	1727
37	68	1725
38	69	1719
39	71	1712
40	73	1713
41	74	1705
42	76	1702
43	78	1695
44	79	1695
45	81	1689
46	83	1688
47	85	1691
48	87	1689
49	88	1684
50	90	1681
51	92	1678
52	93	1673
53	95	1670
54	97	1667
55	98	1664
56	100	1660
57	102	1661
58	103	1657
59	105	1655
60	107	1651
61	109	1649
62	110	1645
63	112	1641
64	113	1638
65	115	1636
66	117	1635
67	118	1630
68	120	1630
69	122	1627
70	124	1625
71	125	1620
72	127	1619
73	128	1614
74	130	1612
75	132	1608
76	134	1608
77	135	1605
78	137	1603
79	139	1600
80	140	1597
81	142	1594
82	144	1592
83	145	1589
84	147	1583
85	148	1581
86	150	1579
87	152	1578
88	153	1575
89	155	1571
90	157	1571
91	158	1567
92	160	1566
93	162	1565
94	164	1562
95	165	1561
96	167	1559
97	169	1558
98	170	1555
99	172	1554
100	174	1550
101	176	1549
102	177	1546
103	179	1544
104	180	1541
105	182	1539
106	184	1537
107	185	1535
108	187	1534
109	189	1531
110	191	1530
111	192	1528
112	194	1526
113	196	1524
114	197	1521
115	199	1522
116	201	1519
117	203	1518
118	204	1514
119	206	1514
120	208	1511
121	209	1509
122	211	1506
123	213	1505
124	214	1503
125	216	1501
126	218	1501
127	220	1499
128	221	1496
129	223	1495
130	225	1494
131	226	1492
132	228	1491
133	230	1489
134	232	1489
135	234	1489
136	235	1485
137	237	1483
138	239	1482
139	240	1479
140	242	1477
141	244	1476
142	246	1475
143	247	1472
144	249	1470
145	250	1467
146	252	1466
147	254	1464
148	256	1463
149	257	1461
150	259	1460
151	261	1458
152	263	1456
153	264	1453
154	266	1451
155	268	1450
156	269	1448
157	271	1445
158	273	1444
159	274	1442
160	276	1440
161	277	1437
162	279	1436
163	281	1434
164	283	1432
165	284	1430
166	286	1428
167	288	1426
168	289	1423
169	291	1421
170	292	1419
171	294	1418
172	296	1415
173	297	1413
174	299	1411
175	301	1409
176	302	1408
177	304	1405
178	306	1403
179	307	1402
180	309	1399
181	310	1397
182	312	1396
183	314	1394
184	316	1392
185	317	1391
186	319	1389
187	321	1387
188	322	1385
189	324	1383
190	326	1381
191	327	1379
192	329	1377
193	331	1376
194	333	1375
195	335	1374
196	336	1372
197	338	1369
198	339	1367
199	341	1365
200	342	1363
201	344	1361
202	346	1359
203	348	1358
204	349	1356
205	351	1354
206	353	1352
207	354	1350
208	356	1348
209	357	1345
210	359	1345
211	361	1343
212	363	1341
213	365	1340
214	366	1338
215	368	1337
216	370	1335
217	371	1333
218	373	1331
219	374	1329
220	376	1327
221	378	1325
222	379	1323
223	381	1321
224	383	1319
225	384	1317
226	386	1315
227	388	1314
228	389	1312
229	391	1310
230	393	1308
231	395	1307
232	396	1306
233	398	1305
234	400	1302
235	401	1300
236	403	1299
237	405	1297
238	406	1295
239	408	1293
240	409	1291
241	411	1289
242	413	1287
243	415	1286
244	416	1284
245	418	1282
246	420	1280
247	421	1279
248	423	1277
249	425	1275
250	426	1274
251	428	1272
252	430	1271
253	432	1269
254	434	1268
255	435	1266
256	437	1265
257	439	1263
258	441	1261
259	442	1259
260	444	1258
261	446	1256
262	447	1254
263	449	1253
264	451	1251
265	452	1249
266	454	1247
267	455	1245
268	457	1243
269	459	1242
270	461	1241
271	462	1239
272	464	1237
273	466	1236
274	468	1235
275	470	1233
276	472	1232
277	474	1231
278	475	1228
279	477	1226
280	478	1225
281	480	1224
282	482	1222
283	484	1220
284	485	1218
285	487	1217
286	489	1215
287	491	1213
288	492	1212
289	494	1211
290	496	1209
291	498	1207
292	499	1205
293	501	1204
294	503	1202
295	504	1200
296	506	1198
297	507	1196
298	509	1195
299	511	1193
300	513	1192
301	514	1190
302	516	1188
303	518	1186
304	519	1184
305	521	1183
306	523	1181
307	525	1179
308	526	1177
309	528	1176
310	530	1174
311	531	1172
312	533	1170
313	535	1168
314	536	1167
315	538	1165
316	540	1164
317	541	1161
318	543	1159
319	545	1158
320	546	1156
321	548	1155
322	550	1153
323	551	1151
324	553	1149
325	555	1147
326	556	1146
327	558	1144
328	560	1142
329	561	1140
330	563	1138
331	565	1136
332	566	1134
333	568	1133
334	570	1131
335	572	1130
336	574	1129
337	576	1129
338	578	1127
339	580	1125
340	581	1124
341	583	1122
342	585	1120
343	586	1119
344	588	1117
345	590	1116
346	592	1114
347	593	1112
348	595	1110
349	597	1108
350	598	1106
351	601	1106
352	603	1105
353	604	1104
354	606	1102
355	608	1100
356	610	1098
357	611	1096
358	613	1095
359	615	1093
360	616	1091
361	618	1090
362	620	1088
363	622	1087
364	623	1085
365	625	1083
366	628	1083
367	630	1082
368	632	1081
369	634	1079
370	636	1078
371	637	1076
372	639	1075
373	641	1073
374	643	1072
375	644	1070
376	646	1068
377	648	1066
378	649	1064
379	651	1063
380	653	1062
381	655	1060
382	657	1058
383	658	1057
384	660	1055
385	662	1053
386	664	1051
387	665	1050
388	667	1048
389	669	1046
390	670	1045
391	672	1043
392	674	1041
393	676	1040
394	678	1039
395	681	1038
396	682	1037
397	684	1035
398	686	1033
399	688	1032
400	689	1030
401	691	1028
402	693	1026
403	694	1025
404	696	1023
405	698	1021
406	700	1020
407	702	1018
408	703	1016
409	705	1014
410	707	1013
411	708	1011
412	710	1010
413	712	1008
414	714	1006
415	717	1007
416	719	1005
417	721	1004
418	724	1005
419	728	1005
420	731	1005
421	733	1004
422	734	1002
423	736	1000
424	738	998
425	740	997
426	741	995
427	743	993
428	744	991
429	746	989
430	748	987
431	750	986
432	751	984
433	753	982
434	755	980
435	756	978
436	758	976
437	759	974
438	761	973
439	763	971
440	764	969
441	766	968
442	768	966
443	770	965
444	772	963
445	774	961
446	775	959
447	777	958
448	779	956
449	780	954
450	782	952
451	784	950
452	786	949
453	787	947
454	789	945
455	790	943
456	792	941
457	794	940
458	796	938
459	797	936
460	799	934
461	801	933
462	803	931
463	804	929
464	806	927
465	808	926
466	809	924
467	811	922
468	813	920
469	814	919
470	816	917
471	818	915
472	820	913
473	821	911
474	823	910
475	825	908
476	827	906
477	828	905
478	830	903
479	832	901
480	834	900
481	835	898
482	837	896
483	839	894
484	840	892
485	842	891
486	844	889
487	846	887
488	847	885
489	849	883
490	851	882
491	852	880
492	854	878
493	855	876
494	857	874
495	859	873
496	861	871
497	862	869
498	864	868
499	866	866
500	868	864
501	869	862
502	871	861
503	873	859
504	874	857
505	876	855
506	878	853
507	879	852
508	881	850
509	883	848
510	885	847
511	886	845
512	888	843
513	890	841
514	891	839
515	893	838
516	895	836
517	896	834
518	898	832
519	900	831
520	901	829
521	903	827
522	905	825
523	907	824
524	908	822
525	911	821
526	913	819
527	914	817
528	916	816
529	917	814
530	919	812
531	921	810
532	923	809
533	925	807
534	926	805
535	928	804
536	930	802
537	932	800
538	933	798
539	935	797
540	937	795
541	939	793
542	940	791
543	942	789
544	944	788
545	945	786
546	947	784
547	949	782
548	950	781
549	952	779
550	954	777
551	956	775
552	957	774
553	959	772
554	961	770
555	963	769
556	964	767
557	966	765
558	968	763
559	970	762
560	971	760
561	973	758
562	975	757
563	976	755
564	978	753
565	980	751
566	982	750
567	983	748
568	985	746
569	987	744
570	988	742
571	990	741
572	992	739
573	994	737
574	995	736
575	997	734
576	999	732
